id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_stand_energy_terima,id_v1,id_v2,id_v3,id_i1,id_i2,id_i3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,apparent_energy_export,rssi,lokasi
604976,11,2024-01-01 00:00:04,WITEL_AHU_L3,17539000.0,1239,229,231,230,2,0,0,50.01,0.5779,2023-12-31 23:59:17.000,2023-12-31 23:59:17.000,2023-12-31 23:59:17.000,2706.0,7528890.0,32066531,531014,-89.0,87
605003,11,2024-01-01 00:10:03,WITEL_AHU_L3,17539500.0,1239,229,231,230,2,0,0,50.0,0.5791,2024-01-01 00:09:18.000,2024-01-01 00:09:18.000,2024-01-01 00:09:18.000,2706.0,7529566.0,32067523,531171,-89.0,87
605029,11,2024-01-01 00:20:03,WITEL_AHU_L3,17540100.0,1240,229,231,230,2,0,0,50.01,0.5771999999999999,2024-01-01 00:19:17.000,2024-01-01 00:19:17.000,2024-01-01 00:19:17.000,2706.0,7530242.0,32068515,531329,-89.0,87
605056,11,2024-01-01 00:30:03,WITEL_AHU_L3,17540700.0,1241,229,231,230,2,0,0,49.99,0.5814999999999999,2024-01-01 00:29:17.000,2024-01-01 00:29:17.000,2024-01-01 00:29:17.000,2706.0,7530917.0,32069505,531486,-100.0,87
605081,11,2024-01-01 00:40:03,WITEL_AHU_L3,17541200.0,1241,229,231,230,2,0,0,49.96,0.5648,2024-01-01 00:39:17.000,2024-01-01 00:39:17.000,2024-01-01 00:39:17.000,2706.0,7531592.0,32070495,531644,-86.0,87
605105,11,2024-01-01 00:50:03,WITEL_AHU_L3,17541800.0,1242,229,231,230,2,0,0,49.99,0.5791,2024-01-01 00:49:15.000,2024-01-01 00:49:15.000,2024-01-01 00:49:15.000,2706.0,7532268.0,32071485,531802,-89.0,87
605136,11,2024-01-01 01:00:03,WITEL_AHU_L3,17542400.0,1242,229,231,230,2,0,0,49.99,0.5811999999999999,2024-01-01 00:59:14.000,2024-01-01 00:59:14.000,2024-01-01 00:59:14.000,2706.0,7532944.0,32072476,531960,-87.0,87
605163,11,2024-01-01 01:10:03,WITEL_AHU_L3,17543000.0,1243,229,232,230,2,0,0,50.02,0.5807,2024-01-01 01:09:34.000,2024-01-01 01:09:34.000,2024-01-01 01:09:34.000,2706.0,7533620.0,32073471,532118,-89.0,87
605195,11,2024-01-01 01:20:03,WITEL_AHU_L3,17543500.0,1244,229,232,230,2,0,0,50.01,0.5569999999999999,2024-01-01 01:19:16.000,2024-01-01 01:19:16.000,2024-01-01 01:19:16.000,2706.0,7534295.0,32074466,532277,-87.0,87
605242,11,2024-01-01 01:40:03,WITEL_AHU_L3,17544700.0,1245,229,232,230,2,0,0,49.97,0.5792999999999999,2024-01-01 01:39:18.000,2024-01-01 01:39:18.000,2024-01-01 01:39:18.000,2706.0,7535647.0,32076450,532594,-88.0,87
