id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
607298,32,2024-01-01 14:40:03,OPMC_AHU_L6,3017140.0,226,226,228,49.98,1.0,2024-01-01 14:40:10.000,2024-01-01 14:40:10.000,2024-01-01 14:40:10.000,28419.0,28672.0,3048968,-93.0,107
607327,32,2024-01-01 14:50:03,OPMC_AHU_L6,3017140.0,226,226,228,49.98,1.0,2024-01-01 14:50:11.000,2024-01-01 14:50:11.000,2024-01-01 14:50:11.000,28419.0,28672.0,3048968,-95.0,107
607361,32,2024-01-01 15:00:03,OPMC_AHU_L6,3017140.0,226,226,228,50.03,1.0,2024-01-01 15:00:28.000,2024-01-01 15:00:28.000,2024-01-01 15:00:28.000,28419.0,28672.0,3048968,-91.0,107
607377,32,2024-01-01 15:10:03,OPMC_AHU_L6,3017140.0,226,226,228,49.99,1.0,2024-01-01 15:10:08.000,2024-01-01 15:10:08.000,2024-01-01 15:10:08.000,28419.0,28672.0,3048968,-93.0,107
607409,32,2024-01-01 15:20:03,OPMC_AHU_L6,3017140.0,226,226,228,49.95,1.0,2024-01-01 15:20:14.000,2024-01-01 15:20:14.000,2024-01-01 15:20:14.000,28419.0,28672.0,3048968,-91.0,107
607463,32,2024-01-01 15:40:03,OPMC_AHU_L6,3017140.0,226,226,228,50.01,1.0,2024-01-01 15:40:27.000,2024-01-01 15:40:27.000,2024-01-01 15:40:27.000,28419.0,28672.0,3048968,-91.0,107
607480,32,2024-01-01 15:50:03,OPMC_AHU_L6,3017140.0,225,226,228,49.98,1.0,2024-01-01 15:50:10.000,2024-01-01 15:50:10.000,2024-01-01 15:50:10.000,28419.0,28672.0,3048968,-91.0,107
607516,32,2024-01-01 16:00:03,OPMC_AHU_L6,3017140.0,225,226,228,49.96,1.0,2024-01-01 16:00:21.000,2024-01-01 16:00:21.000,2024-01-01 16:00:21.000,28419.0,28672.0,3048968,-96.0,107
607541,32,2024-01-01 16:10:03,OPMC_AHU_L6,3017140.0,226,226,228,50.04,1.0,2024-01-01 16:10:25.000,2024-01-01 16:10:25.000,2024-01-01 16:10:25.000,28419.0,28672.0,3048968,-93.0,107
607568,32,2024-01-01 16:20:03,OPMC_AHU_L6,3017140.0,226,226,228,50.04,1.0,2024-01-01 16:20:30.000,2024-01-01 16:20:30.000,2024-01-01 16:20:30.000,28419.0,28672.0,3048968,-89.0,107
607589,32,2024-01-01 16:30:03,OPMC_AHU_L6,3017140.0,226,226,228,49.98,1.0,2024-01-01 16:30:15.000,2024-01-01 16:30:15.000,2024-01-01 16:30:15.000,28419.0,28672.0,3048968,-90.0,107
607619,32,2024-01-01 16:40:03,OPMC_AHU_L6,3017140.0,226,226,228,50.06,1.0,2024-01-01 16:40:20.000,2024-01-01 16:40:20.000,2024-01-01 16:40:20.000,28419.0,28672.0,3048968,-88.0,107
607648,32,2024-01-01 16:50:03,OPMC_AHU_L6,3017140.0,226,226,228,50.0,1.0,2024-01-01 16:50:19.000,2024-01-01 16:50:19.000,2024-01-01 16:50:19.000,28419.0,28672.0,3048968,-90.0,107
607679,32,2024-01-01 17:00:03,OPMC_AHU_L6,3017140.0,226,226,228,50.02,1.0,2024-01-01 17:00:22.000,2024-01-01 17:00:22.000,2024-01-01 17:00:22.000,28419.0,28672.0,3048968,-91.0,107
607696,32,2024-01-01 17:10:03,OPMC_AHU_L6,3017140.0,226,226,228,50.02,1.0,2024-01-01 17:10:07.000,2024-01-01 17:10:07.000,2024-01-01 17:10:07.000,28419.0,28672.0,3048968,-93.0,107
